UserLanguage,SQ 1 ,SQ 2,SQ 3,SQ 3_16_TEXT,SQ 4 ,SQ 5,Q 1.3,Q 1.4_1,Q 1.4_2,Q 1.4_3,Q 1.4_4,Q 1.4_5,Q 1.4_5_TEXT,Q 1.5,Q 2.1,Q 2.1_1_TEXT,Q 2.1_2_TEXT,Q 2.1_3_TEXT,Q 2.1_4_TEXT,Q 2.2,Q 2.3,Q 2.4,Q 2.5,Q 2.6,Q 2.6_1_TEXT,Q 2.6_2_TEXT,Q 3.2,Q 3.3,Q 3.4,Q 3.4_4_TEXT,Q 3.5,Q 3.5_12_TEXT,Q 3.6,Q 3.6_5_TEXT,Q 3.7,Q 4.1,Q 4.2,Q 4.3,Q 4.3_6_TEXT,Q 4.4,Q 4.4_12_TEXT,Q 4.5,Q 4.5_10_TEXT,Q 4.6,Q 4.7,Q 4.8,Q 4.9_1,Q 4.9_2,Q 4.9_3,Q 4.9_4,Q 4.9_5,Q 4.9_6,Q 4.9_7,Q 4.9_7_TEXT,Q 4.10,Q 4.10_5_TEXT,Q 4.11_1,Q 4.11_2,Q 4.12,Q 4.13,Q 4.13_10_TEXT,Q 4.14,Q 4.14_6_TEXT,Q 4.15,Q 4.15_8_TEXT,,,,,,,,psid
IT,Full-time (30 or more hours per week),Retail / Wholesale Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Computer / Communications and Information / Internet / Web Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Self-employed,Food / Beverage / Restaurant,Fast food and quick-service restaurants,,Owner / Partner,Yes,More than 5 years,"High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","Low autonomy (Commis Chef, Dishwasher, Housekeeper)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)",,,Yes,Maximum capacity in number of persons,70,,,,5-10 persons,"€100,000 – €250,000","20,001 to 100,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",11,23,Every day,No,Carefully curated or planned to match the atmosphere and customer experience,,Jazz,,"Streaming services (e.g., Spotify, Deezer, Apple Music, etc.)",,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Travel / Tourism / Hospitality,"Bars, pubs, and cocktail lounges",,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Self-employed,Food / Beverage / Restaurant,Other:,Negozio alimentari ,Owner / Partner,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Travel / Tourism / Hospitality,Hotels and similar accommodation,,Entry Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Entertainment / Leisure / Recreation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Part-time,Travel / Tourism / Hospitality,Other:,cambio valuta,Experienced: Professional or Non-Management,Yes,More than 5 years,,,,,"Low autonomy (Commis Chef, Dishwasher, Housekeeper)",nessuno,No,,,,,,Above 20 persons,€15 million – €50 million,"More than 500,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",8.15,18.3,Most days,No,Chosen from the person on duty,,"Pop,Rock,Country",,"Radio (FM, AM or internet radio) or TV",,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Self-employed,Entertainment / Leisure / Recreation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Hotels and similar accommodation,,Experienced: Professional or Non-Management,Yes,More than 5 years,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,,No,Maximum capacity in number of persons,210,,,,Above 20 persons,€5 million – €15 million,"5,000 to 20,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",07:30,22:00,Every day,No,Carefully curated or planned to match the atmosphere and customer experience,,"Pop,Dance / Electronic,Latin,Jazz",,"Streaming services (e.g., Spotify, Deezer, Apple Music, etc.)",,I’m not sure,Yes,1-2 times a week,"Solo artists,Bands,Classical ensembles",,"Pop,Dance / Electronic,Latin,Jazz",,151–200 people,,Stayed the same,,,,,,,,,,,Paid by the guests (ticket/entry),,10,20,No change,Enhancing customer experience,,"Increased food and beverage sales,Sponsorships",,"High artist fees,Unpredictable revenue,Noise complaints from neighbours or authorities,Difficulty attracting audiences",,,,,,,,,
IT,Full-time (30 or more hours per week),Transportation / Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Travel / Tourism / Hospitality,Hotels and similar accommodation,,Entry Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Education / Training / Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,Full-time (30 or more hours per week),Travel / Tourism / Hospitality,Hotels and similar accommodation,,Middle Management (Director / Divisional / Department Head),Yes,More than 5 years,,,,,"High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)",Veranstaltungsbereich ,Yes,Number of rooms,,,146,,Above 20 persons,I do not know,"20,001 to 100,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Opening time,00 - 24,,Every day,No,Randomly selected or played by chance,,Pop,,"Radio (FM, AM or internet radio) or TV",,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Self-employed,Travel / Tourism / Hospitality,Hotels and similar accommodation,,Owner / Partner,Yes,More than 5 years,"High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)",,,No,Maximum capacity in number of persons,200,,,,5-10 persons,€1 million – €5 million,"20,001 to 100,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",7,24,Every day,Yes,A mix of both,,R&B,,"Streaming services (e.g., Spotify, Deezer, Apple Music, etc.)",,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Retail / Wholesale Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Fast food and quick-service restaurants,,Front Line Management,Yes,More than 5 years,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,No,Squared meters,,,,200,Above 20 persons,€1 million – €5 million,"5,000 to 20,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",8,22,Every day,Yes,Carefully curated or planned to match the atmosphere and customer experience,,"Pop,Rock",,"Streaming services (e.g., Spotify, Deezer, Apple Music, etc.),Radio (FM, AM or internet radio) or TV",,I’m not sure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Travel / Tourism / Hospitality,Hotels and similar accommodation,,Senior Management (CEO / VP / Managing Director),Yes,More than 5 years,"High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)",,,Yes,Maximum capacity in number of persons,57,,,,Above 20 persons,€1 million – €5 million,"More than 500,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",6,0,Every day,Yes,A mix of both,,"Pop,R&B",,"Streaming services (e.g., Spotify, Deezer, Apple Music, etc.),Purchased music (CDs, digital downloads, etc.)",,Yes,Yes,1-2 times per year,Solo artists,,"Pop,Rock,Hip-Hop / Rap,Latin",,51–100 people,,Stayed the same,,,,,,,,,,,Free for the guests,,,,Increases significantly,Customer retention,,"Increased food and beverage sales,Merchandise sales",,Licensing and regulation costs,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Full-service restaurants,,Owner / Partner,Yes,More than 5 years,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)",,Yes,Maximum capacity in number of persons,,,,,5-10 persons,"€100,000 – €250,000","Fewer than 5,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",6,0.00E+00,Most days,Yes,Carefully curated or planned to match the atmosphere and customer experience,,"Pop,Latin",,"Streaming services (e.g., Spotify, Deezer, Apple Music, etc.)",,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,"Full-service restaurants,Street food vendors and food trucks,Catering for corporate events, weddings, and parties",,Front Line Management,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Education / Training / Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Full-service restaurants,,Owner / Partner,Yes,More than 5 years,"High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)",,,,,No,Maximum capacity in number of persons,250,,,,10-20 persons,€1 million – €5 million,"100,001 to 500,000 inhabitants","Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",12,24,Every day,No,Carefully curated or planned to match the atmosphere and customer experience,,Latin,,"Streaming services (e.g., Spotify, Deezer, Apple Music, etc.),Purchased music (CDs, digital downloads, etc.)",,Yes,Yes,1-2 times a week,Bands,,Latin,,Over 200 people (please specify),250,Stayed the same,,,,,,,,,,,Free for the guests,,,,No change,Attracting new customers,,Increased food and beverage sales,,"Unpredictable revenue,Licensing and regulation costs",,,,,,,,,
PL,Full-time (30 or more hours per week),Retail / Wholesale Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Travel / Tourism / Hospitality,Hotels and similar accommodation,,Front Line Management,Yes,3–5 years,"High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,Yes,Number of rooms,,,82,,Above 20 persons,€1 million – €5 million,"20,001 to 100,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",7,22,Every day,Yes,Carefully curated or planned to match the atmosphere and customer experience,,"Pop,Latin,Classical / Opera,Country",,"Streaming services (e.g., Spotify, Deezer, Apple Music, etc.),Licensed music providers (e.g., Soundtrack Your Brand, Mood Media, etc.),Purchased music (CDs, digital downloads, etc.)",,No,Yes,1-2 times a month,"Solo artists,Bands",,"Pop,Classical / Opera,Country",,151–200 people,,Increased,,Increased by 25% to 50%,,,,,,,,,Free for the guests,,,,Increases slightly,Enhancing customer experience,,Increased food and beverage sales,,High costs beside artists fees,,,,,,,,,
IT,Full-time (30 or more hours per week),Travel / Tourism / Hospitality,Hotels and similar accommodation,,Middle Management (Director / Divisional / Department Head),Yes,More than 5 years,,,"High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)",,,,No,Number of rooms,,,180,,Above 20 persons,I do not know,"More than 500,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Opening time,0-24,,Every day,No,Randomly selected or played by chance,,Pop,,"Streaming services (e.g., Spotify, Deezer, Apple Music, etc.)",,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Travel / Tourism / Hospitality,Hotels and similar accommodation,,Experienced: Professional or Non-Management,Yes,More than 5 years,,,,,,,No,Number of rooms,,,,,Above 20 persons,I do not know,"More than 500,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Opening time,,,Every day,No,Carefully curated or planned to match the atmosphere and customer experience,,Other (please specify),Różnorodna ,"Purchased music (CDs, digital downloads, etc.)",,Yes,Yes,3-4 times a year,"Solo artists,Bands",,"Pop,Classical / Opera,Folk",,151–200 people,,Stayed the same,,,,,,,,,,,Free for the guests,,,,Not sure,Increasing revenue,,Increased food and beverage sales,,High costs beside artists fees,,,,,,,,,
